MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
3.5296,29.0,6.238137082601054,0.6789876519563107,7.063903961472068,1.1345718656591872,37.86,-122.22,1.522790105708428
7.2574,52.0,8.288135593220339,0.7292121154807412,6.208590026096629,1.3396635689714214,37.85,-122.24,1.508733208312468
5.6431,52.0,5.817351598173516,0.7290254682248472,7.063903961472068,1.2663686205511466,37.85,-122.25,1.4845547302874103
3.8462,52.0,6.281853281853282,0.7328875092094594,6.338594078203183,1.1573424682099338,37.85,-122.25,1.4865920824352548
4.0368,52.0,4.761658031088083,0.7436629706968471,6.025865973825314,1.1441897971644288,37.85,-122.25,1.3075216799544949
3.6591,52.0,4.9319066147859925,0.6685275225067704,7.063903961472068,1.1405231842837467,34.25,-122.25,1.3842923584492175
3.12,52.0,5.226737114268806,0.7235909319746685,7.05444965813294,1.0254154061216685,37.84,-122.25,1.227884624372249
2.0804,42.0,4.294117647058823,0.750305594399894,7.095893221097532,1.1075359396303264,37.84,-122.26,1.183872132618933
3.6912,52.0,4.970588235294118,0.6882331657575163,7.347299700743164,1.15444707557755,37.84,-122.25,1.2839847422953208
3.2031,29.0,5.477611940298507,0.7321765244656805,6.814542897259958,1.1828558808850131,37.85,-122.26,1.3389406647364204
3.2705,29.0,5.226737114268806,0.7053341966631889,7.316548177182976,1.114828860257355,37.85,-122.26,1.2290555846933993
3.075,52.0,5.322649572649572,0.7171563112718758,7.002155954403621,1.2078115806331018,37.85,-122.26,1.142629174084884
2.6736,52.0,4.0,0.7408420543679625,5.846438775057725,1.3396635689714214,37.84,-122.26,1.0691834779772977
1.9167,52.0,4.262903225806451,0.6979742213082613,7.10085190894405,1.0834440671949384,37.85,-122.26,0.9524297784900283
2.125,50.0,4.242424242424242,0.7171563112718758,6.548219102762372,1.2920253058239763,37.85,-118.5,0.8754687373538999
2.775,52.0,5.9395770392749245,0.7171563112718758,6.677083461247136,1.2225306550765735,37.85,-122.27,0.9262410627273231
2.1202,52.0,4.052805280528053,0.6765078615559806,6.47543271670409,1.1437812570360213,37.85,-122.27,0.9380522236556678
1.9911,50.0,5.343675417661098,0.7352094557333977,6.898714534329988,1.2127645919765426,37.84,-122.26,0.9504989032038921
1.3578,29.0,4.524096385542169,0.7459453661269161,6.016157159698354,1.2423822524408072,37.85,-122.27,0.9062403960206536
1.725,52.0,5.096234309623431,0.7171563112718758,6.923628628138427,1.1389320650477344,37.84,-118.5,0.7603384301002686
2.1806,29.0,5.226737114268806,0.7114403736072706,6.74993119378857,1.2877481818817946,34.25,-122.27,0.6916460544336782
2.6,52.0,5.270142180094787,0.7107636079482436,6.914730892718563,1.219024828863518,37.84,-122.27,0.8441500540964727
2.4597,29.0,4.728033472803348,0.703553101721062,6.410174881966167,1.2640558076747126,37.85,-118.5,0.6616565134685745
3.5296,52.0,4.780856423173804,0.7229260559155566,7.063903961472068,1.3286172174154072,37.85,-122.28,0.7202758479481979
1.6424,50.0,4.40169133192389,0.7130327128470529,7.0317412587631285,1.2211603999345269,34.25,-122.28,0.7366854825744287
1.6875,52.0,4.703225806451613,0.7091475219063864,5.981414211254481,1.2664931613072699,37.84,-122.28,0.8415671856782186
1.9274,49.0,5.068783068783069,0.7804891907150933,6.761572768804055,1.1887785895850196,37.84,-122.28,0.7988576349820595
1.9615,52.0,4.882086167800454,0.7375003481097478,7.063903961472068,1.2943232715455373,37.84,-122.28,0.7663976422995379
1.7969,48.0,5.737313432835821,0.7171563112718758,6.934397209928558,1.4018444708263995,37.84,-122.27,0.7438402948754634
1.375,29.0,5.030395136778116,0.7478540947994201,6.626717749249025,1.1914324962356186,34.25,-122.27,0.7173518692567626
2.7303,29.0,4.972014925373134,0.7279811332355778,7.063903961472068,1.3396635689714214,34.25,-118.5,0.7405077519197829
1.4861,49.0,4.602272727272728,0.7266698725985887,6.3473892096560105,1.1502842992124307,37.83,-122.27,0.6790482561804436
1.0972,48.0,4.807486631016043,0.7678279450920963,6.895682697747868,1.2917192052369342,37.83,-122.27,0.7153977894947651
1.4103,52.0,3.7493796526054592,0.676886659688165,6.804614520062624,1.1742551805399153,37.83,-122.28,0.7124594915923181
2.0978,52.0,4.215189873417722,0.7230746011014185,6.853299093186078,1.3396635689714214,34.25,-122.26,0.9376607576103475
1.2852,51.0,5.226737114268806,0.8066527827894932,6.249975242259483,1.1237292732758837,37.83,-122.26,0.9162907318741551
1.025,49.0,3.772486772486773,0.7171563112718758,7.063903961472068,1.236762627148927,34.25,-122.26,0.7829878845597348
3.5296,52.0,4.797979797979798,0.7031975164134467,6.148468295917647,1.2115200099613188,37.84,-118.5,1.0605642210305797
2.026,50.0,3.700657894736842,0.7223226696938768,6.424869023905388,1.1073459686368643,34.25,-118.5,0.8858315243894466
1.7348,43.0,5.226737114268806,0.8034362424189208,6.326149473155099,1.1648785653878928,34.25,-122.27,0.8649974374866045
3.5296,40.0,3.9,0.7969439742415889,7.063903961472068,1.2930133711166654,37.82,-118.5,1.0560526742493137
1.775,40.0,2.6875,0.7252953019354224,6.55250788703459,1.3396635689714214,37.82,-118.5,0.7537718023763802
0.9218,21.0,2.045662100456621,0.7171563112718758,6.601230118728877,0.9851009382770293,37.82,-122.27,1.0002641656503337
1.1108,29.0,4.473611111111111,0.7814886910481769,7.580699752224563,1.3139476575345077,37.82,-122.27,0.6805683983530851
1.2475,52.0,4.075,0.76080582903376,7.0587581525186645,1.3396635689714214,37.82,-122.27,0.7139297197424739
1.6098,52.0,5.021459227467811,0.6974298423519462,6.553933404025811,1.3884379846631423,37.82,-118.5,0.6286086594223741
1.4113,52.0,4.295454545454546,0.7440995077338726,6.3578422665081,1.2859716394920215,37.82,-122.28,0.6048622656923737
1.5057,52.0,4.77992277992278,0.7476207407224434,6.434546518787453,1.2242295642366419,37.82,-122.28,0.6286086594223741
0.8172,52.0,6.102459016393443,0.7171563112718758,6.591673732008658,1.3821875791672373,37.82,-122.28,0.6168059473032227
1.2171,52.0,4.5625,0.7171563112718758,6.980075940561763,1.5113607501673822,37.82,-122.28,0.5894519442211803
2.5625,29.0,2.771929824561404,0.6232776015320345,4.553876891600541,0.9742285689803742,34.25,-122.29,0.4700036292457356
3.3929,52.0,5.226737114268806,0.7553433884298512,6.318968113746434,1.3768920084415002,37.83,-122.29,0.5636078092049601
6.1183,49.0,5.869565217391305,0.8066527827894932,4.465908118654584,1.5558536662999942,37.82,-122.29,0.5596157879354227
0.9011,50.0,6.229508196721311,0.8066527827894932,7.063903961472068,1.408585051018262,37.81,-122.29,0.6211139776601137
1.191,52.0,7.69811320754717,0.8066527827894932,6.257667587882639,1.3396635689714214,37.81,-122.3,0.5658818295140691
2.5938,48.0,6.225563909774436,0.8066527827894932,5.973809611869261,1.3730491343698699,37.81,-122.3,0.5510074133988225
1.1667,52.0,5.401069518716578,0.750305594399894,7.063903961472068,1.4421893509130674,37.81,-122.3,0.5788580341578177
0.8056,48.0,4.382530120481928,0.7257426588093967,6.670766320845874,1.2159489953726517,37.81,-122.3,0.6119371251344021
2.6094,52.0,6.98639455782313,0.7171563112718758,6.20050917404269,1.4694718675987983,34.25,-122.29,0.594982931772714
1.8516,52.0,6.975609756097561,0.8066527827894932,5.616771097666572,1.4682114835877773,37.81,-122.3,0.6151856390902334
0.9802,46.0,4.584288052373159,0.7197938923942889,7.508787170634276,1.3821943143758773,37.81,-122.29,0.8294247988524932
1.7719,26.0,6.047244094488189,0.7171563112718758,5.973809611869261,1.4077167967072974,37.81,-122.29,0.6015799870344548
0.7286,46.0,5.226737114268806,0.7286118901322279,6.368187186350492,1.1317514157969168,37.81,-122.29,0.6688544879909007
0.4999,29.0,2.01845840879479,0.6232776015320345,2.9444389791664403,1.2729656758128876,37.81,-122.29,0.5158131652770298
2.483,20.0,6.2781954887218046,0.7932306391169278,5.673323267171493,1.1570230508245243,37.81,-122.29,0.8649974374866045
3.5296,36.0,5.724950884086444,0.743900053897226,7.1204443723924875,1.232061818086005,37.81,-122.28,0.7035924384214839
1.1111,19.0,5.830917874396135,0.7765287894989964,6.582025138892826,1.5003129395208314,37.81,-122.28,0.733809162278835
0.8026,23.0,5.369230769230769,0.7658255599040728,6.961296045910167,1.4452886954635644,37.81,-122.29,0.7537718023763802
3.5296,38.0,4.412903225806452,0.7586932584578163,5.84354441703136,1.169180978832272,37.8,-122.28,0.8385453832493022
1.5,17.0,3.1972318339100347,0.6931471805599453,6.413458957167357,1.1337433801897676,37.81,-122.28,0.965080896043587
1.1667,52.0,3.75,0.6931471805599453,5.214935757608986,1.3396635689714214,37.81,-122.27,0.7537718023763802
1.5208,52.0,3.9080459770114944,0.749027638954402,5.303304908059076,1.3396635689714214,37.81,-122.28,0.7537718023763802
0.8075,52.0,2.490322580645161,0.7217659858655979,5.849324779946859,1.1731809841656182,37.81,-122.28,0.8649974374866045
1.8088,35.0,5.609467455621302,0.7365693420102233,6.148468295917647,1.3252998484170488,37.81,-122.28,0.7829878845597348
3.5296,52.0,6.721739130434782,0.8066527827894932,5.934894195619588,1.4535465881290581,37.81,-122.28,0.6841064359077962
0.977,40.0,2.3157894736842106,0.7824585421350168,7.063903961472068,0.928843197945275,37.81,-122.27,0.7829878845597348
0.76,10.0,2.6515151515151514,0.7200546334798696,6.304448802421981,0.9762734364758654,37.81,-122.27,0.965080896043587
0.9722,10.0,2.6923076923076925,0.7308875085427923,4.836281906951478,1.3396635689714214,37.8,-118.5,0.8649974374866045
2.0938,16.0,2.74585635359116,0.733748156182185,6.68586094706836,1.1662537255860856,37.8,-122.27,0.965080896043587
0.8668,52.0,2.4431818181818183,0.6874491594453075,6.807934943699926,1.7147434548630078,37.8,-122.28,0.8649974374866045
0.75,52.0,2.823529411764706,0.6480267452794757,5.2574953720277815,1.7147434548630078,37.8,-122.28,0.965080896043587
2.6354,27.0,3.493377483443709,0.7650056993292205,6.577861357721047,1.2171308889034471,37.79,-122.27,1.0560526742493137
2.0096,36.0,2.294016358157555,0.7257564641255732,8.050065422915965,0.9136182012951432,34.25,-122.26,0.832909122935104
2.0062,29.0,3.681318681318681,0.7774075241776853,5.313205979041787,1.1693131025002172,37.81,-122.26,0.8109302162163288
1.2185,22.0,2.9456,0.7011153502091222,7.613324979540639,0.9628689276347334,37.82,-122.26,0.9932517730102833
2.6104,29.0,3.707142857142857,0.7453329337305156,7.063903961472068,1.056230120794008,37.82,-122.26,1.0753436617287555
2.4912,29.0,3.7248,0.7566852013639329,7.742835955430749,1.0449301784182499,37.81,-122.25,1.2748039850865274
3.5296,52.0,3.5154975530179446,0.7624662631083444,6.79794041297493,0.90017461263169,34.25,-122.25,1.5040773967762742
